attribution,collection,documentation-url,endpoint,licence,organisation,pipelines,entry-date,start-date,end-date
,contribution-funding-status,,607eb93bad47b5d4ea3364ec0fe4c4ce09d9e83674cceb559ccd0faf40c935db,,,contribution-funding-status,2021-03-25,,
,contribution-purpose,,05762a3af6634daaa28f3f0c1480b40db9d965c5b798361602ee9b86d4a84490,,,contribution-purpose,2021-03-25,,
,developer-contributions,https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,675f65fd59ba990515e78f92aaf5394fa9442c2a6af1e4f99882ff953279f474,,local-authority-eng:ADU,developer-agreement,2020-12-21,,
,developer-contributions,https://www.ambervalley.gov.uk/planningobligations,2949face1bcd597baade64dbc4dcda33805a4ea2b8b89105d298013932f2be3d,,local-authority-eng:AMB,developer-agreement,2021-01-11,,
,developer-contributions,https://www.ashford.gov.uk/planning-and-development/planning-policy/developer-contributions/,23700b00504d0ebbd20d642feb6c18a8168192ef932060ac148c612ae385a8e0,,local-authority-eng:ASF,developer-agreement,2020-12-22,,
,developer-contributions,https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,091d167efbcfaf8dac1461915dafc485344fa67890db984f63e9d70cdc49a71e,,local-authority-eng:BOL,developer-agreement,2020-12-23,,
,developer-contributions,,baf92f29405c1a04cfb25818fa531d05b29ece1000067f5fee9e855e0969cc24,,local-authority-eng:BOT,developer-agreement,2020-12-22,,
,developer-contributions,https://www.braintree.gov.uk/homepage/187/developer-agreements,9e811475516670a7f1da1c46472219a07e6ef387d183d49d52bbb43fcc0b2811,,local-authority-eng:BRA,developer-agreement,2021-01-04,,
,developer-contributions,https://www.broxbourne.gov.uk/ifs,b15edd86367e6636e0f485d4a7d538ab0512dad67b7eb1505854177d2f67a150,,local-authority-eng:BRX,developer-agreement,2020-12-22,,
,developer-contributions,https://www.charnwood.gov.uk/pages/106_agreements,9926ea3636ef34f766224941b63f631c1b69650a90c74168770317910c128564,,local-authority-eng:CHA,developer-agreement,2020-12-23,,
,developer-contributions,https://www.cheltenham.gov.uk/developer-agreement,910e422ddd3431a329371268bfcade444c7f56188295f21b36fe5fb67b17032d,,local-authority-eng:CHT,developer-agreement,2021-01-04,,
,developer-contributions,https://cumbria.gov.uk/planning-environment/ifs.asp,d4a0f3d0aca376b252ee34333f42c335a97c158c79278ecceb82a7da1b21979d,,local-authority-eng:CMA,developer-agreement,2021-01-04,,
,developer-contributions,https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210https://www.colchester.gov.uk/info/cbc-article/?catid=planning-fees-and-charges&id=KA-01210,5fcc24c20580a5ad333bd285630ab5da984a5aa176e94e2a02eee8168323634b,,local-authority-eng:COL,developer-agreement,2020-12-16,,
,developer-contributions,https://www.copeland.gov.uk/content/monitoring,1f308e57f0b323eab3a7525fd33a92974ab6b4916b68e2d04472b40aaba32456,,local-authority-eng:COP,developer-agreement,2020-12-18,,
,developer-contributions,https://www.eastherts.gov.uk/about-east-herts-0/east-herts-annual-infrastructure-funding-statements,2398916e652311c83f7d73136018b4c67eba0d5b02bc26289822daf7511a084c,,local-authority-eng:EHE,developer-agreement,2020-12-16,,
,developer-contributions,https://epsom-ewell.gov.uk/residents/planning/planning-policy/community-infrastructure-levy-cil-guidance/annual-report,0f37f19b0d3d5eb42ddb18862639cf23cf1456963ab264a37710b8ebb0c8526e,,local-authority-eng:EPS,developer-agreement,2021-01-11,,
,developer-contributions,https://www.erewash.gov.uk/planning-policy/infrastructure-funding-statement.html?highlight=WyJpbmZyYXN0cnVjdHVyZSJdhttps://www.erewash.gov.uk/planning-policy/infrastructure-funding-statement.html?highlight=WyJpbmZyYXN0cnVjdHVyZSJd,e38bfe46143d42ec996fbe99add19c7ed136f2dee12c192edbc85b2211f8ce73,,local-authority-eng:ERE,developer-agreement,2020-12-22,,
,developer-contributions,,3992959d38f1c2642f75c91bbbad68c992a065ec50e02ba690ac8f4b711a8269,,local-authority-eng:ERY,developer-agreement,2021-01-04,,
