developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
10/00351/FULL-dc,section-106,10/00351/FULL,,local-authority-eng:GOS,2020-06-17,2010-11-10,,/developer-agreement/local-authority-eng/GOS/10-00351-FULL-dc
16/00602/FULL-dc,community-infrastructure-levy,16/00602/FULL,,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement/local-authority-eng/GOS/16-00602-FULL-dc
15/00230/FULL-dc,community-infrastructure-levy,15/00230/FULL,,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement/local-authority-eng/GOS/15-00230-FULL-dc
18/00221/FULL-dc,community-infrastructure-levy,18/00221/FULL,,local-authority-eng:GOS,2020-06-17,2019-06-17,,/developer-agreement/local-authority-eng/GOS/18-00221-FULL-dc
18/00473/FULL-dc,community-infrastructure-levy,18/00473/FULL,,local-authority-eng:GOS,2020-06-17,2019-09-03,,/developer-agreement/local-authority-eng/GOS/18-00473-FULL-dc
18/00117/FULL-dc,community-infrastructure-levy,18/00117/FULL,,local-authority-eng:GOS,2020-06-17,2019-09-11,,/developer-agreement/local-authority-eng/GOS/18-00117-FULL-dc
17/00203/OUT-dc,section-106,17/00203/OUT,,local-authority-eng:GOS,2020-06-17,2019-09-12,,/developer-agreement/local-authority-eng/GOS/17-00203-OUT-dc
17/00599/FULL-dc,section-106,17/00599/FULL,,local-authority-eng:GOS,2020-06-17,2019-09-26,,/developer-agreement/local-authority-eng/GOS/17-00599-FULL-dc
17/00314/FULL-dc,community-infrastructure-levy,17/00314/FULL,,local-authority-eng:GOS,2020-06-17,2020-01-17,,/developer-agreement/local-authority-eng/GOS/17-00314-FULL-dc
16/00187/FULL-dc,community-infrastructure-levy,16/00187/FULL,,local-authority-eng:GOS,2020-06-17,2020-01-30,,/developer-agreement/local-authority-eng/GOS/16-00187-FULL-dc
18/00118/FULL-dc,section-106,18/00118/FULL,,local-authority-eng:GOS,2020-06-17,2020-02-05,,/developer-agreement/local-authority-eng/GOS/18-00118-FULL-dc
16/00526/FULL-dc,community-infrastructure-levy,16/00526/FULL,,local-authority-eng:GOS,2020-06-17,2020-02-13,,/developer-agreement/local-authority-eng/GOS/16-00526-FULL-dc
19/00435/FULL-dc,section-106,19/00435/FULL,,local-authority-eng:GOS,2020-06-17,2020-03-04,,/developer-agreement/local-authority-eng/GOS/19-00435-FULL-dc
