developer-agreement,developer-agreement-type,planning-application,document-url,organisation,entry-date,start-date,end-date,slug
17/02215/RMA-ag,CIL,17/02215/RMA,,local-authority-eng:NEA,2020-11-26,2019-05-10,2019-05-31,/developer-agreement/local-authority-eng/NEA/17-02215-RMA-ag
15/01295/FULM-ag,CIL,15/01295/FULM,,local-authority-eng:NEA,2020-11-26,2019-05-17,,/developer-agreement/local-authority-eng/NEA/15-01295-FULM-ag
17/01846/FUL-ag,CIL,17/01846/FUL,,local-authority-eng:NEA,2020-11-26,2019-05-22,,/developer-agreement/local-authority-eng/NEA/17-01846-FUL-ag
18/02304/FUL-ag,CIL,18/02304/FUL,,local-authority-eng:NEA,2020-11-26,2019-05-31,,/developer-agreement/local-authority-eng/NEA/18-02304-FUL-ag
17/02215/RMA-ag,CIL,17/02215/RMA,,local-authority-eng:NEA,2020-11-26,2019-06-04,,/developer-agreement/local-authority-eng/NEA/17-02215-RMA-ag
18/02153/FUL-ag,CIL,18/02153/FUL,,local-authority-eng:NEA,2020-11-26,2019-07-03,,/developer-agreement/local-authority-eng/NEA/18-02153-FUL-ag
17/00029/FUL-ag,CIL,17/00029/FUL,,local-authority-eng:NEA,2020-11-26,2019-07-09,,/developer-agreement/local-authority-eng/NEA/17-00029-FUL-ag
18/00597/FULM-ag,CIL,18/00597/FULM,,local-authority-eng:NEA,2020-11-26,2019-08-02,,/developer-agreement/local-authority-eng/NEA/18-00597-FULM-ag
17/01248/FUL-ag,CIL,17/01248/FUL,,local-authority-eng:NEA,2020-11-26,2019-09-04,,/developer-agreement/local-authority-eng/NEA/17-01248-FUL-ag
18/00526/RMAM-ag,CIL,18/00526/RMAM,,local-authority-eng:NEA,2020-11-26,2019-09-25,,/developer-agreement/local-authority-eng/NEA/18-00526-RMAM-ag
18/00953/FUL-ag,CIL,18/00953/FUL,,local-authority-eng:NEA,2020-11-26,2019-10-16,,/developer-agreement/local-authority-eng/NEA/18-00953-FUL-ag
15/00501/FULM-ag,CIL,15/00501/FULM,,local-authority-eng:NEA,2020-11-26,2019-10-23,,/developer-agreement/local-authority-eng/NEA/15-00501-FULM-ag
14/00353/FUL-ag,CIL,14/00353/FUL,,local-authority-eng:NEA,2020-11-26,2019-10-23,,/developer-agreement/local-authority-eng/NEA/14-00353-FUL-ag
18/01497/FUL-ag,CIL,18/01497/FUL,,local-authority-eng:NEA,2020-11-26,2019-11-20,,/developer-agreement/local-authority-eng/NEA/18-01497-FUL-ag
18/01020/FULM-ag,CIL,18/01020/FULM,,local-authority-eng:NEA,2020-11-26,2019-11-28,,/developer-agreement/local-authority-eng/NEA/18-01020-FULM-ag
15/00429/FUL-ag,CIL,15/00429/FUL,,local-authority-eng:NEA,2020-11-26,2019-11-29,,/developer-agreement/local-authority-eng/NEA/15-00429-FUL-ag
18/00123/FUL-ag,CIL,18/00123/FUL,,local-authority-eng:NEA,2020-11-26,2019-11-29,2019-12-24,/developer-agreement/local-authority-eng/NEA/18-00123-FUL-ag
17/00959/FUL-ag,CIL,17/00959/FUL,,local-authority-eng:NEA,2020-11-26,2019-12-03,,/developer-agreement/local-authority-eng/NEA/17-00959-FUL-ag
19/00490/FUL-ag,CIL,19/00490/FUL,,local-authority-eng:NEA,2020-11-26,2020-01-03,,/developer-agreement/local-authority-eng/NEA/19-00490-FUL-ag
18/00123/FUL-ag,CIL,18/00123/FUL,,local-authority-eng:NEA,2020-11-26,2020-01-03,,/developer-agreement/local-authority-eng/NEA/18-00123-FUL-ag
18/01241/FUL-ag,CIL,18/01241/FUL,,local-authority-eng:NEA,2020-11-26,2020-02-28,,/developer-agreement/local-authority-eng/NEA/18-01241-FUL-ag
19/01615/RMA-ag,CIL,19/01615/RMA,,local-authority-eng:NEA,2020-11-26,2020-03-13,,/developer-agreement/local-authority-eng/NEA/19-01615-RMA-ag
