developer-agreement-contribution,amount,units,contribution-purpose,developer-agreement,organisation,entry-date,start-date,end-date,slug
10/00351/FULL-s106-1,22470,,highways,10/00351/FULL-dc,local-authority-eng:GOS,2020-06-17,2010-11-10,,/developer-agreement-contribution/local-authority-eng/GOS/10-00351-FULL-s106-1
16/00602/FULL-cil-s,28696.54,,strategic-communinty-infrastructure-levy,16/00602/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/16-00602-FULL-cil-s
16/00602/FULL-cil-n,5380.6,,neighbourhood-community-infrastructure-levy,16/00602/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/16-00602-FULL-cil-n
16/00602/FULL-cil-a,1793.53,,cil-administration-costs,16/00602/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/16-00602-FULL-cil-a
15/00230/FULL-cil-s,33379.33,,strategic-communinty-infrastructure-levy,15/00230/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/15-00230-FULL-cil-s
15/00230/FULL-cil-n,6258.62,,neighbourhood-community-infrastructure-levy,15/00230/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/15-00230-FULL-cil-n
15/00230/FULL-cil-a,2086.21,,cil-administration-costs,15/00230/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-05-31,,/developer-agreement-contribution/local-authority-eng/GOS/15-00230-FULL-cil-a
18/00221/FULL-cil-s,8299.5,,strategic-communinty-infrastructure-levy,18/00221/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-06-17,,/developer-agreement-contribution/local-authority-eng/GOS/18-00221-FULL-cil-s
18/00221/FULL-cil-n,1556.16,,neighbourhood-community-infrastructure-levy,18/00221/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-06-17,,/developer-agreement-contribution/local-authority-eng/GOS/18-00221-FULL-cil-n
18/00221/FULL-cil-a,518.72,,cil-administration-costs,18/00221/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-06-17,,/developer-agreement-contribution/local-authority-eng/GOS/18-00221-FULL-cil-a
18/00473/FULL-cil-s,32659.93,,strategic-communinty-infrastructure-levy,18/00473/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-09-03,,/developer-agreement-contribution/local-authority-eng/GOS/18-00473-FULL-cil-s
18/00473/FULL-cil-n,6123.74,,neighbourhood-community-infrastructure-levy,18/00473/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-09-03,,/developer-agreement-contribution/local-authority-eng/GOS/18-00473-FULL-cil-n
18/00473/FULL-cil-a,2041.25,,cil-administration-costs,18/00473/FULL-dc,local-authority-eng:GOS,2020-06-17,2019-09-03,,/developer-agreement-contribution/local-authority-eng/GOS/18-00473-FULL-cil-a
