developer-agreement-transaction,amount,units,contribution-funding-status,developer-agreement-contribution,organisation,entry-date,start-date,end-date,slug
Tran_1,291000,,received,07/18/0363/F-da,local-authority-eng:BRX,2020-11-23,2019-07-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-1
Tran_2,48300,,received,07/18/0363/F-da,local-authority-eng:BRX,2020-11-23,2019-07-09,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-2
Tran_3,15000,,received,07/19/0164/F-da,local-authority-eng:BRX,2020-11-23,2019-12-03,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-3
Tran_4,41243,,received,07/16/0166/F-da,local-authority-eng:BRX,2020-11-23,2016-10-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-4
Tran_5,16093,,received,07/16/0166/F-da,local-authority-eng:BRX,2020-11-23,2016-10-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-5
Tran_6,171411,,received,07/16/0166/F-da,local-authority-eng:BRX,2020-11-23,2016-10-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-6
Tran_7,178893,,received,07/16/0166/F-da,local-authority-eng:BRX,2020-11-23,2016-10-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-7
Tran_8,6609,,received,07/16/0166/F-da,local-authority-eng:BRX,2020-11-23,2016-10-10,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-8
Tran_9,365508,,received,07/13/0158/O-da,local-authority-eng:BRX,2020-11-23,2015-09-08,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-9
Tran_10,559458,,received,07/13/0158/O-da,local-authority-eng:BRX,2020-11-23,2015-09-08,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-10
Tran_11,302129,,received,07/14/0904/F-da,local-authority-eng:BRX,2020-11-23,2015-09-08,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-11
Tran_12,12235,,allocated,07/14/0076/F-da,local-authority-eng:BRX,2020-11-23,2015-01-06,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-12
Tran_13,14491,,allocated,07/09/0765/F-da,local-authority-eng:BRX,2020-11-23,2010-05-11,,/developer-agreement-transaction/local-authority-eng/BRX/Tran-13
